NU_CONTRATO;CO_PRODUTO;CO_UNIDADE;VR_EXPOSICAO;VR_PROVISAO;QT_DIAS_ATRASO
00000000000000000009;102;1107;2684,84;2684,84;2
00000000000000000010;102;3164;3122,21;15,61;2
00000000000000000011;102;426;1887,42;9,44;0
00000000000000000012;102;1711;2700,46;13,23;2
00000000000000000013;102;96;2535,01;12,68;0
00000000000000000014;102;4155;799,73;4;2
00000000000000000015;102;3290;914,76;4,57;2
00000000000000000016;102;4989;1881,12;9,41;0
00000000000000000017;102;1268;1744,95;8,72;2
00000000000000000018;102;2113;505,31;2,53;2
00000000000000000019;102;3948;1546,04;7,73;2
00000000000000000020;102;106;1496,81;7,48;2
00000000000000000021;102;1351;3713,8;18,57;2
00000000000000000022;102;1300;1860,8;9,3;2
00000000000000000023;102;423;1129,2;5,65;2
00000000000000000024;102;3115;693,46;3,47;2
00000000000000000025;102;3326;1681,31;8,41;2
00000000000000000026;102;855;936,24;4,68;2
00000000000000000027;102;461;3270,89;16,35;2
00000000000000000028;102;465;3280,75;16,4;2
00000000000000000029;102;3834;697,84;3,49;2
00000000000000000030;102;962;1311,75;6,56;2
00000000000000000031;102;4066;1870,81;9,35;2
00000000000000000032;102;1639;0;0;0
00000000000000000033;102;4981;2128,54;10,64;2
00000000000000000034;102;330;795,6;3,98;2
00000000000000000035;102;4755;4960,37;24,8;2
00000000000000000036;102;4400;2511,55;12,56;2
00000000000000000037;102;4051;2256,01;11,28;2
00000000000000000038;102;4121;796,51;3,98;2
00000000000000000039;102;678;2438,46;12,19;2
00000000000000000040;102;991;1406,54;7,03;2
00000000000000000041;102;2741;0;0;0
00000000000000000042;102;29;2938,33;14,69;2
00000000000000000043;102;1914;3400,66;17;2
00000000000000000044;102;738;665,56;3,33;2
00000000000000000045;102;3308;1313,93;6,57;2
00000000000000000046;102;3398;2036,03;10,18;2
00000000000000000047;102;2427;2724,26;2724,26;2
00000000000000000048;102;2335;1531,97;7,66;2
00000000000000000049;102;636;2910,61;14,55;2
00000000000000000050;102;686;1658,09;8,29;2
00000000000000000001;104;618;13810,99;13810,99;9810
00000000000000000002;104;202;2787,84;2787,84;9985
00000000000000000003;104;2218;9659,06;9659,06;9896
00000000000000000004;104;1737;53132,44;53132,44;9817
00000000000000000005;104;408;4558,11;4558,11;8792
00000000000000000006;104;279;1082,18;1082,18;9684
00000000000000000007;104;772;7278,98;7278,98;8952
00000000000000000008;104;1813;6019,49;6019,49;9885
00000000000000000009;104;161;1514,28;1514,28;8436
00000000000000000010;104;435;3782,82;3782,82;9502
00000000000000000011;104;45;5320,32;5320,32;9948
00000000000000000012;104;45;5320,32;5320,32;9948
00000000000000000013;104;909;1065,19;1065,19;9891
00000000000000000014;104;1851;56607,15;56607,15;9575
00000000000000000015;104;626;5943,49;5943,49;8216
00000000000000000016;104;1546;1130,32;1130,32;10031
00000000000000000017;104;618;2855,83;2855,83;9806
00000000000000000018;104;1884;17471,75;17471,75;9863
00000000000000000019;104;618;1274,52;1274,52;9824
00000000000000000020;104;25;32095,1;32095,1;9855
00000000000000000021;104;618;1403,49;1403,49;9790
00000000000000000022;104;125;10385,15;10385,15;9770
00000000000000000023;104;509;8831,17;8831,17;9478
00000000000000000024;104;2403;378,9;378,9;8557
00000000000000000025;104;497;6051,14;6051,14;9817
00000000000000000026;104;1851;56607,15;56607,15;9575
00000000000000000027;104;703;6014,92;6014,92;9843
00000000000000000028;104;507;12714,45;12714,45;9916
00000000000000000029;104;909;1247,64;1247,64;9891
00000000000000000030;104;618;5672,65;5672,65;9810
00000000000000000031;104;1241;706,6;706,6;8531
00000000000000000032;104;904;4890,63;4890,63;8265
00000000000000000033;104;25;17225,4;17225,4;9874
00000000000000000034;104;1851;9958,38;9958,38;9548
00000000000000000035;104;2215;11572,32;11572,32;9863
00000000000000000001;105;791;35946,46;35946,46;376
00000000000000000002;105;2256;15008,51;75,04;0
00000000000000000003;105;34;7128,42;3564,21;0
00000000000000000004;105;973;1703,95;8,52;0
00000000000000000005;105;474;29995,69;149,98;0
00000000000000000006;105;4759;5416,09;27,08;0
00000000000000000007;105;314;2436,58;12,18;0
00000000000000000008;105;3613;3291,46;16,46;0
00000000000000000009;105;35;1330,6;6,65;0
00000000000000000010;105;658;5285,8;26,43;1
00000000000000000011;105;1596;5531,61;5531,61;509
00000000000000000012;105;444;1230,27;1230,27;698
00000000000000000013;105;4190;1953,16;9,77;0
00000000000000000014;105;2045;2510,17;2510,17;1100
00000000000000000015;105;3060;3650,91;18,25;0
00000000000000000016;105;528;3048,99;15,24;0
00000000000000000017;105;389;7049,19;7049,19;603
00000000000000000018;105;1034;851001,5;2553;2
00000000000000000019;105;3867;1148,17;5,74;0
00000000000000000020;105;323;1010,32;5,86;0
00000000000000000021;105;4157;6258,33;6258,33;634
00000000000000000022;105;4579;1485,02;1485,02;724
00000000000000000023;105;502;4243,91;73,17;0
00000000000000000024;105;84;914,07;914,07;5597
00000000000000000025;105;1989;9557,12;47,79;0
00000000000000000026;105;3397;797,88;398,94;91
00000000000000000027;105;316;283,9;283,9;6977
00000000000000000028;105;648;7198,97;35,99;0
00000000000000000029;105;504;458,74;458,74;1701
00000000000000000030;105;404;1531,1;1531,1;4810
00000000000000000031;105;560;1262,24;6,31;3
00000000000000000032;105;2257;726,09;726,09;4954
00000000000000000033;105;203;5172,19;25,86;0
00000000000000000034;105;259;51317,36;251,46;0
00000000000000000035;105;415;3102,24;15,51;2
00000000000000000036;105;545;13311,85;13311,85;2638
00000000000000000037;105;2376;9248,34;46,24;0
00000000000000000038;105;4536;1815,54;1815,54;829
00000000000000000039;105;758;1505,84;1505,84;6582
00000000000000000040;105;557;44623,02;44623,02;2073
00000000000000000041;105;1310;3666,91;3666,91;5422
00000000000000000042;105;211;0;0;0
00000000000000000043;105;4042;7683,33;2584,36;0
00000000000000000044;105;174;5271,05;5271,05;1681
00000000000000000045;105;3433;30668,58;30668,58;448
00000000000000000046;105;2979;1494,89;1494,89;865
00000000000000000047;105;930;5190,33;155,71;52
00000000000000000048;105;790;9158,08;9158,08;2806
00000000000000000049;105;3390;2537,1;12,69;0
00000000000000000050;105;115;3664,48;3664,48;5351
00000000000000000001;106;135;5241,44;5241,44;6510
00000000000000000002;106;1580;1665,28;1665,28;5783
00000000000000000003;106;3340;35943,24;35943,24;2283
00000000000000000004;106;1021;730,3;730,3;2249
00000000000000000005;106;2278;4654,09;4654,09;2458
00000000000000000006;106;613;1208,34;1208,34;5929
00000000000000000007;106;653;1289,76;1289,76;4501
00000000000000000008;106;529;624,24;624,24;1671
00000000000000000009;106;497;1070,4;1070,4;6629
00000000000000000010;106;2332;1254,12;1254,12;4490
00000000000000000011;106;1030;1518,76;1518,76;4903
00000000000000000012;106;2209;670,7;670,7;7048
00000000000000000013;106;2151;6418,68;6418,68;1589
00000000000000000014;106;2187;6726,96;6726,96;6313
00000000000000000015;106;556;707,97;707,97;806
00000000000000000016;106;5;13333,96;13333,96;3993
00000000000000000017;106;509;1384,06;1384,06;5530
00000000000000000018;106;58;15013,94;75,07;0
00000000000000000019;106;1824;1281,09;1281,09;4086
00000000000000000020;106;760;2445,3;2445,3;6830
00000000000000000021;106;2922;15666,89;15666,89;4949
00000000000000000022;106;147;3001,08;3001,08;4813
00000000000000000023;106;3948;20528;20528;1286
00000000000000000024;106;1839;1036,58;1036,58;4775
00000000000000000025;106;893;1689,4;1689,4;6997
00000000000000000026;106;2047;1551,06;1551,06;2680
00000000000000000027;106;39;1113,94;1113,94;4109
00000000000000000028;106;1530;1155,71;1155,71;1382
00000000000000000029;106;29;7351,14;7351,14;1420
00000000000000000030;106;40;2427,54;2427,54;6442
00000000000000000031;106;25;975,71;975,71;5767
00000000000000000032;106;91;897,91;897,91;4963
00000000000000000033;106;664;15687,6;15687,6;5061
00000000000000000034;106;497;975,41;975,41;6703
00000000000000000035;106;674;951,21;951,21;7382
00000000000000000036;106;308;147,62;147,62;6035
00000000000000000037;106;1035;609,8;609,8;4739
00000000000000000038;106;316;15107,04;15107,04;5765
00000000000000000039;106;1581;402,22;402,22;5289
00000000000000000040;106;2296;556,01;556,01;3620
00000000000000000041;106;700;726,28;726,28;6222
00000000000000000042;106;664;16767,46;16767,46;5030
00000000000000000043;106;169;2276,63;2276,63;5278
00000000000000000044;106;2419;932,67;932,67;2725
00000000000000000045;106;3415;9770,68;9770,68;1817
00000000000000000046;106;431;3595,53;3595,53;8823
00000000000000000047;106;1423;2340,07;2340,07;1456
00000000000000000048;106;2193;672,8;672,8;4537
00000000000000000049;106;406;12149,65;12149,65;6902
00000000000000000050;106;59;271,73;271,73;8622
00000000000000000001;107;351;379,5;1,9;0
00000000000000000002;107;4378;2405,85;2405,85;584
00000000000000000003;107;2989;1946,28;1946,28;543
00000000000000000004;107;597;1553,75;7,77;0
00000000000000000005;107;249;1283,85;1283,85;61
00000000000000000006;107;954;17401,19;1099,41;0
00000000000000000007;107;4340;288,33;1,44;0
00000000000000000008;107;2525;10552,65;10552,65;478
00000000000000000009;107;3796;2999,33;29,99;17
00000000000000000010;107;635;792,01;3,96;0
00000000000000000011;107;1327;4667,8;4667,8;1365
00000000000000000012;107;1334;718,49;3,59;0
00000000000000000013;107;471;6313,36;31,57;2
00000000000000000014;107;1709;2890,52;2890,52;957
00000000000000000015;107;79;7837,64;39,19;0
00000000000000000016;107;4538;5409;54,09;0
00000000000000000017;107;3162;874,53;874,53;604
00000000000000000018;107;147;345,81;18,92;0
00000000000000000019;107;506;472,2;2,36;2
00000000000000000020;107;1757;0;0;0
00000000000000000021;107;204;12179,73;12179,73;813
00000000000000000022;107;638;192,58;192,58;876
00000000000000000023;107;779;11993,52;3598,06;0
00000000000000000024;107;359;736,44;736,44;0
00000000000000000025;107;2990;12551,11;1255,11;149
00000000000000000026;107;2553;7263,83;7263,83;1729
00000000000000000027;107;2278;8472,27;8472,27;695
00000000000000000028;107;4140;7891,77;7891,77;496
00000000000000000029;107;817;3601;3601;743
00000000000000000030;107;880;0;0;0
00000000000000000031;107;2855;2394,65;11,97;0
00000000000000000032;107;3864;918,19;182,7;0
00000000000000000033;107;219;531,49;531,49;5232
00000000000000000034;107;704;697,84;3,49;0
00000000000000000035;107;658;592,67;2,96;0
00000000000000000036;107;467;2051,86;2051,86;241
00000000000000000037;107;1084;529,39;2,65;0
00000000000000000038;107;920;6721,7;33,61;0
00000000000000000039;107;2000;654,03;654,03;1577
00000000000000000040;107;327;568,79;568,79;0
00000000000000000041;107;1144;650,13;3,25;0
00000000000000000042;107;3001;147,23;14,72;89
00000000000000000043;107;3061;1513,81;1513,81;164
00000000000000000044;107;147;19011,36;95,06;0
00000000000000000045;107;571;735,78;735,78;6778
00000000000000000046;107;908;474,29;2,37;0
00000000000000000047;107;756;3195,05;3195,05;765
00000000000000000048;107;1557;4610,44;4610,44;0
00000000000000000049;107;1626;11314,23;3805,65;113
00000000000000000050;107;26;2391,33;11,96;0
00000000000000000001;109;9911;11585739,65;11585739,65;1402
00000000000000000001;110;3510;0;0;0
00000000000000000002;110;1020;21550,4;237,27;0
00000000000000000003;110;3260;2957,43;88,72;0
00000000000000000004;110;96;1099,63;18,29;0
00000000000000000005;110;1028;10321,16;89,79;0
00000000000000000006;110;2297;35364,47;858,3;0
00000000000000000007;110;558;31428,35;939,71;0
00000000000000000008;110;590;110,61;1,84;0
00000000000000000009;110;779;7299,12;29,2;0
00000000000000000010;110;3125;28165,68;245,04;0
00000000000000000011;110;4122;2979,67;2979,67;1909
00000000000000000012;110;3721;4761,06;112,69;0
00000000000000000013;110;2801;9502,86;493,1;0
00000000000000000014;110;1696;27349,09;237,94;0
00000000000000000015;110;1124;5262,98;26,31;0
00000000000000000016;110;3299;1546,55;23,55;0
00000000000000000017;110;2777;27381,68;220,42;0
00000000000000000018;110;500;5761,68;28,81;0
00000000000000000019;110;733;3304,5;106,14;21
00000000000000000020;110;2918;2434,09;12,17;0
00000000000000000021;110;2658;12951,5;1295,15;152
00000000000000000022;110;427;4310,94;21,55;0
00000000000000000023;110;3274;3429,18;3429,18;330
00000000000000000024;110;3846;5529,74;149,8;0
00000000000000000025;110;1245;2864,01;49,38;0
00000000000000000026;110;260;314,01;5,22;0
00000000000000000027;110;2809;5724,62;5724,62;1973
00000000000000000028;110;7;21466,77;107,33;0
00000000000000000029;110;511;4361,6;21,81;0
00000000000000000030;110;1998;11224,93;56,12;0
00000000000000000031;110;3146;4485,72;74,6;0
00000000000000000032;110;924;12690,52;12690,52;2648
00000000000000000033;110;2152;1413,78;15,27;0
00000000000000000034;110;892;1757,89;47,62;0
00000000000000000035;110;4134;650,4;10,82;0
00000000000000000036;110;3318;16012,44;80,06;0
00000000000000000037;110;29;3456,74;103,7;0
00000000000000000038;110;1405;3619,55;18,1;0
00000000000000000039;110;3137;7639,23;38,2;0
00000000000000000040;110;3281;1528,23;30,95;0
00000000000000000041;110;717;22150,93;220,4;0
00000000000000000042;110;1668;6827,7;204,83;21
00000000000000000043;110;3315;651,83;651,83;1853
00000000000000000044;110;1433;3548,41;59,01;0
00000000000000000045;110;2732;11732,2;350,79;0
00000000000000000046;110;4065;202209;2011,98;0
00000000000000000047;110;3238;6941,47;694,15;177
00000000000000000048;110;97;454,02;3,68;0
00000000000000000049;110;576;724;12,04;0
00000000000000000050;110;702;4194,16;20,97;0
00000000000000000001;125;4053;1023,91;1023,91;2048
00000000000000000002;125;791;1538,26;1538,26;2198
00000000000000000003;125;1200;457,72;457,72;3789
00000000000000000004;125;3001;4036,39;4036,39;2064
00000000000000000005;125;990;427,72;427,72;2443
00000000000000000006;125;31;649,26;649,26;1690
00000000000000000007;125;3005;348,41;348,41;2338
00000000000000000008;125;1977;178,62;178,62;2080
00000000000000000009;125;1024;462,16;462,16;2335
00000000000000000010;125;31;1308,44;1308,44;1812
00000000000000000011;125;218;1779,51;1779,51;2122
00000000000000000012;125;1026;846,18;846,18;1958
00000000000000000013;125;1238;254,6;254,6;2131
00000000000000000014;125;3272;760,84;760,84;3649
00000000000000000015;125;1529;1432,9;1432,9;2060
00000000000000000016;125;1926;3683,91;3683,91;2199
00000000000000000017;125;1951;732,25;732,25;1788
00000000000000000018;125;2983;110,26;110,26;1857
00000000000000000019;125;2983;8971,64;8971,64;2123
00000000000000000020;125;3089;751,46;751,46;2118
00000000000000000021;125;31;272,53;272,53;1757
00000000000000000022;125;1316;389,11;389,11;2239
00000000000000000023;125;1569;2368,03;2368,03;1867
00000000000000000024;125;12;1210,39;1210,39;2088
00000000000000000025;125;1026;857,24;857,24;2158
00000000000000000026;125;2940;1443,93;1443,93;2059
00000000000000000027;125;1040;418,99;418,99;2335
00000000000000000028;125;100;1053,48;1053,48;1979
00000000000000000029;125;2256;1685,3;1685,3;2000
00000000000000000030;125;1382;320,9;320,9;2371
00000000000000000031;125;3225;718,81;718,81;2325
00000000000000000032;125;2256;444,49;444,49;2329
00000000000000000033;125;3005;213,09;213,09;2206
00000000000000000034;125;2015;2143,63;2143,63;2189
00000000000000000035;125;980;1922,94;1922,94;1907
00000000000000000036;125;1575;2474,58;2474,58;1968
00000000000000000037;125;144;191,26;191,26;2344
00000000000000000038;125;1488;1691,01;1691,01;2208
00000000000000000039;125;880;560,56;560,56;1968
00000000000000000040;125;302;856,47;856,47;2172
00000000000000000041;125;31;1229,82;1229,82;1779
00000000000000000042;125;4053;461,53;461,53;1525
00000000000000000043;125;2332;293,24;293,24;2249
00000000000000000044;125;2256;469,69;469,69;2299
00000000000000000045;125;3320;2207,65;2207,65;1961
00000000000000000046;125;1101;843,74;843,74;2176
00000000000000000047;125;3089;2555,32;2555,32;2114
00000000000000000048;125;3005;1134,28;1134,28;2060
00000000000000000049;125;31;989,99;989,99;2132
00000000000000000050;125;1441;1095,44;1095,44;2034
00000000000000000001;139;2023;989,66;989,66;1394
00000000000000000002;139;3553;2223,93;2223,93;2154
00000000000000000003;139;2010;2110,13;2110,13;2169
00000000000000000004;139;3035;2096,67;2096,67;2088
00000000000000000005;139;208;1978,62;1978,62;2154
00000000000000000006;139;185;3497,85;3497,85;1843
00000000000000000007;139;4121;3931,09;3931,09;1904
00000000000000000008;139;2929;802,71;802,71;2052
00000000000000000009;139;3663;2878,78;2878,78;2213
00000000000000000010;139;2010;2215,19;2215,19;2182
00000000000000000011;139;2155;1769,78;1769,78;2159
00000000000000000012;139;2437;2072,42;2072,42;1996
00000000000000000013;139;2;503,68;503,68;1630
00000000000000000014;139;33;15007,26;15007,26;1072
00000000000000000015;139;185;1641,85;1641,85;1569
00000000000000000016;139;2558;406,46;406,46;2082
00000000000000000017;139;4161;6307,96;6307,96;1599
00000000000000000018;139;2022;390,91;390,91;2088
00000000000000000019;139;4094;3402,32;3402,32;1254
00000000000000000020;139;2004;3700,57;3700,57;2083
00000000000000000021;139;478;2584,33;2584,33;1812
00000000000000000022;139;1018;411,63;411,63;2031
00000000000000000023;139;4087;1470,46;1470,46;1084
00000000000000000024;139;684;762,83;762,83;1408
00000000000000000025;139;1069;3144,53;3144,53;1661
00000000000000000026;139;4161;5037,75;5037,75;1574
00000000000000000027;139;4161;4674,97;4674,97;1511
00000000000000000028;139;91;183,41;183,41;2062
00000000000000000029;139;2281;3219,92;3219,92;1542
00000000000000000030;139;1018;2814,83;2814,83;2027
00000000000000000031;139;3716;907,72;907,72;1783
00000000000000000032;139;1371;4225,59;4225,59;1965
00000000000000000033;139;2079;3222,02;3222,02;1540
00000000000000000034;139;3511;2351,85;2351,85;1874
00000000000000000035;139;449;1717,29;1717,29;2062
00000000000000000036;139;1640;4667,17;4667,17;1630
00000000000000000037;139;33;2098,4;2098,4;1965
00000000000000000038;139;13;372,88;372,88;2010
00000000000000000039;139;1469;3242,83;3242,83;1965
00000000000000000040;139;1563;3172,39;3172,39;1996
00000000000000000041;139;3216;2057,84;2057,84;2186
00000000000000000042;139;2538;836,82;836,82;1935
00000000000000000043;139;490;4665,53;4665,53;1661
00000000000000000044;139;2427;3977,69;3977,69;1884
00000000000000000045;139;511;2532,03;2532,03;2172
00000000000000000046;139;1469;2930,52;2930,52;1904
00000000000000000047;139;1022;2855,46;2855,46;1904
00000000000000000048;139;1294;2947,29;2947,29;2088
00000000000000000049;139;908;3065,42;3065,42;1778
00000000000000000050;139;2183;1930,39;1930,39;2114
00000000000000000001;144;1124;1695,34;1695,34;2182
00000000000000000002;144;3020;734,86;734,86;2295
00000000000000000003;144;1411;738,96;738,96;2087
00000000000000000004;144;4162;96,19;96,19;2274
00000000000000000005;144;4403;256,58;256,58;2001
00000000000000000006;144;4079;290,65;290,65;2113
00000000000000000007;144;1943;719,55;719,55;1011
00000000000000000008;144;350;211,57;211,57;2244
00000000000000000009;144;262;752,11;752,11;2320
00000000000000000010;144;190;2546,96;2546,96;1833
00000000000000000011;144;378;1049,89;1049,89;2062
00000000000000000012;144;2234;1201,52;1201,52;2123
00000000000000000013;144;231;330,51;330,51;2144
00000000000000000014;144;107;1580,28;153,4;2
00000000000000000015;144;338;680,21;680,21;2486
00000000000000000016;144;752;693,3;693,3;1840
00000000000000000017;144;4069;717,8;717,8;2154
00000000000000000018;144;369;444,02;444,02;2088
00000000000000000019;144;350;259,35;259,35;2019
00000000000000000020;144;467;93,3;93,3;2237
00000000000000000021;144;535;1428,22;1428,22;2221
00000000000000000022;144;1914;1856,83;1856,83;2213
00000000000000000023;144;2093;728,54;728,54;2191
00000000000000000024;144;2553;2165,36;2165,36;2123
00000000000000000025;144;351;1377,02;1377,02;1928
00000000000000000026;144;1053;974,66;974,66;2150
00000000000000000027;144;1533;196,58;196,58;2244
00000000000000000028;144;904;878,29;878,29;1640
00000000000000000029;144;437;133,1;133,1;2425
00000000000000000030;144;508;3054,36;3054,36;1434
00000000000000000031;144;33;210,71;210,71;2257
00000000000000000032;144;3151;3684,83;3684,83;1727
00000000000000000033;144;4079;2623,02;2623,02;2481
00000000000000000034;144;17;214,09;214,09;2208
00000000000000000035;144;705;1363,23;1363,23;2108
00000000000000000036;144;3189;637,76;637,76;2392
00000000000000000037;144;2187;255,13;255,13;2032
00000000000000000038;144;4338;254,04;254,04;420
00000000000000000039;144;35;2303,74;2303,74;1940
00000000000000000040;144;2919;559,22;559,22;2427
00000000000000000041;144;2955;376,66;376,66;2373
00000000000000000042;144;3469;175,93;175,93;1956
00000000000000000043;144;2185;278,69;278,69;2301
00000000000000000044;144;2272;191,03;191,03;2213
00000000000000000045;144;1900;715,65;715,65;2154
00000000000000000046;144;1075;592,59;592,59;2307
00000000000000000047;144;1106;2488,89;2488,89;2113
00000000000000000048;144;1443;753,06;753,06;2276
00000000000000000049;144;4558;391,49;391,49;2397
00000000000000000050;144;4797;1366,13;1366,13;2169
00000000000000000001;148;519;1156,84;1156,84;8930
00000000000000000002;148;2079;1688,56;1688,56;9292
00000000000000000003;148;1502;1062,67;1062,67;9970
00000000000000000004;148;18;2781,74;2781,74;9776
00000000000000000005;148;1877;1031,96;1031,96;9218
00000000000000000006;148;181;4709,53;4709,53;9725
00000000000000000007;148;413;1569,76;1569,76;9337
00000000000000000008;148;1344;11147,2;11147,2;9793
00000000000000000009;148;693;5835,48;5835,48;9018
00000000000000000010;148;2272;11769,38;11769,38;9847
00000000000000000011;148;632;8314,67;8314,67;9895
00000000000000000012;148;800;2600,63;2600,63;9216
00000000000000000013;148;232;8694,43;8694,43;9369
00000000000000000014;148;823;388,04;388,04;9469
00000000000000000015;148;1979;489,26;489,26;9210
00000000000000000016;148;55;9225,52;9225,52;9415
00000000000000000017;148;1979;1679,01;1679,01;9392
00000000000000000018;148;1340;1581,52;1581,52;9361
00000000000000000019;148;8;1864,03;1864,03;8863
00000000000000000020;148;522;1723,27;1723,27;9637
00000000000000000021;148;1813;5051,67;5051,67;9202
00000000000000000022;148;823;655,79;655,79;9052
00000000000000000023;148;800;5062,23;5062,23;9114
00000000000000000024;148;475;1273,68;1273,68;9424
00000000000000000025;148;1597;2243,08;2243,08;9327
00000000000000000026;148;76;9523,56;9523,56;9555
00000000000000000027;148;668;1524,59;1524,59;9137
00000000000000000028;148;454;1258,12;1258,12;9530
00000000000000000029;148;972;930,5;930,5;9415
00000000000000000030;148;229;3391,47;3391,47;9079
00000000000000000031;148;221;1306,42;1306,42;9314
00000000000000000032;148;632;6787,48;6787,48;9511
00000000000000000033;148;369;899,05;899,05;9271
00000000000000000034;148;2;8180,43;8180,43;9308
00000000000000000035;148;172;1437,42;1437,42;9082
00000000000000000036;148;27;620,37;620,37;9096
00000000000000000037;148;211;1930,5;1930,5;9722
00000000000000000038;148;800;600,63;600,63;9095
00000000000000000039;148;1343;10401,53;10401,53;9412
00000000000000000040;148;1051;9615,59;9615,59;9746
00000000000000000041;148;800;506,14;506,14;9040
00000000000000000042;148;1502;3269,9;3269,9;9991
00000000000000000043;148;972;1025,65;1025,65;8958
00000000000000000044;148;800;4556,8;4556,8;9052
00000000000000000045;148;2008;4149,61;4149,61;8980
00000000000000000046;148;972;1191,44;1191,44;9122
00000000000000000047;148;485;5666,39;5666,39;9190
00000000000000000048;148;59;8067,19;8067,19;9203
00000000000000000049;148;463;1754,44;1754,44;9401
00000000000000000050;148;681;9053,29;9053,29;9400
00000000000000000001;149;921;23465,57;23465,57;2629
00000000000000000002;149;1829;35725,46;35725,46;2159
00000000000000000003;149;533;15808,24;15808,24;3123
00000000000000000004;149;533;25792,18;25792,18;3031
00000000000000000005;149;116;760,22;760,22;1027
00000000000000000006;149;277;8556,94;8556,94;2001
00000000000000000007;149;684;61888,94;61888,94;1888
00000000000000000008;149;1590;39964,36;39964,36;2274
00000000000000000009;149;2976;18594,75;18594,75;3033
00000000000000000010;149;1236;29571,5;29571,5;2519
00000000000000000011;149;1330;16494,45;16494,45;4395
00000000000000000012;149;1371;33883,49;33883,49;2209
00000000000000000013;149;3588;16107,55;16107,55;2014
00000000000000000014;149;260;13204,65;13204,65;3626
00000000000000000015;149;497;1811;1811;6745
00000000000000000016;149;4823;38273,26;38273,26;1720
00000000000000000017;149;1572;30838,21;30838,21;3523
00000000000000000018;149;1510;16590,63;16590,63;1586
00000000000000000019;149;888;66226,39;66226,39;2782
00000000000000000020;149;4156;23378,9;23378,9;1732
00000000000000000021;149;769;9061,24;9061,24;2614
00000000000000000022;149;350;5372,32;5372,32;3091
00000000000000000023;149;3320;10851,23;10851,23;2249
00000000000000000024;149;2054;919,79;919,79;1209
00000000000000000025;149;630;6498,11;6498,11;1352
00000000000000000026;149;2892;17589,48;17589,48;2899
00000000000000000027;149;213;29689,49;29689,49;3074
00000000000000000028;149;282;18867,15;18867,15;1620
00000000000000000029;149;341;37210,53;37210,53;3483
00000000000000000030;149;1020;97206,47;97206,47;2127
00000000000000000031;149;134;24146,9;24146,9;2427
00000000000000000032;149;655;17995,81;17995,81;3505
